,propertyType,prices,zipcodes,home_type,tax_year,tax_value,year_built,property_size,home_size,bathrooms,bedrooms,zestimate_amount
628,House,135.0,78751,SingleFamily,2015.0,338485.0,1952.0,6633.0,1405.0,2.0,2.0,403198.0
630,House,100.0,78748,SingleFamily,2015.0,327100.0,2013.0,7841.0,2364.0,3.0,4.0,
631,House,35.0,78748,SingleFamily,2015.0,251088.0,2012.0,4413.0,1763.0,3.0,3.0,263947.0
632,House,49.0,78748,SingleFamily,2015.0,500.0,,505448.0,,,,
633,House,99.0,78704,SingleFamily,2015.0,398834.0,1939.0,7558.0,985.0,1.0,,450839.0
636,House,80.0,78750,SingleFamily,2015.0,638019.0,1983.0,87904.0,2796.0,2.5,4.0,673457.0
637,House,500.0,78732,SingleFamily,2015.0,2878534.0,1996.0,24959.0,8800.0,7.0,5.0,3639361.0
638,House,119.0,78721,SingleFamily,2015.0,268246.0,2013.0,7802.0,1816.0,2.0,3.0,318168.0
639,House,79.0,78702,SingleFamily,2015.0,406163.0,1939.0,6751.0,1725.0,3.0,4.0,555959.0
640,House,20.0,78747,SingleFamily,2015.0,187623.0,2012.0,4304.0,2068.0,3.0,,208978.0
641,House,649.0,78746,SingleFamily,2015.0,2208904.0,2009.0,36569.0,4141.0,5.0,2.0,2435665.0
643,House,600.0,78746,SingleFamily,2015.0,670963.0,1975.0,15703.0,2461.0,3.0,,766016.0
